seed,condition,tx_ibo_db,rx_backoff_db,mode,modulation,snr_db,model,gamma,target_pfa,pd,pd_lo,pd_hi,measured_pfa,pfa_lo,pfa_hi,auc,n_signal,n_noise
101,linear,,,recalibrated,bpsk,-4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,recalibrated,qpsk,-4,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.008,0.004059195818806103,0.015706334530980144,1.0,1000,1000
101,linear,,,recalibrated,qpsk,-4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,recalibrated,16qam,-4,CAE,0.0592348575592041,0.01,0.926,0.9080945943544141,0.940645007415893,0.008,0.004059195818806103,0.015706334530980144,0.993264,1000,1000
101,linear,,,recalibrated,16qam,-4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,recalibrated,32qam,-4,CAE,0.0592348575592041,0.01,0.93,0.9124853518487167,0.9442236358537061,0.008,0.004059195818806103,0.015706334530980144,0.993053,1000,1000
101,linear,,,recalibrated,32qam,-4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,0.999998,1000,1000
101,linear,,,frozen,bpsk,-2,CAE,0.0592348575592041,0.01,0.998,0.9927371921365079,0.9994513564118793,0.01,0.005440754445529249,0.018309468870314774,0.9998769999999999,1000,1000
101,linear,,,frozen,bpsk,-2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,frozen,qpsk,-2,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,0.999998,1000,1000
101,linear,,,frozen,qpsk,-2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,frozen,16qam,-2,CAE,0.0592348575592041,0.01,0.983,0.9729440411597701,0.9893593101431837,0.01,0.005440754445529249,0.018309468870314774,0.998907,1000,1000
101,linear,,,frozen,16qam,-2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,frozen,32qam,-2,CAE,0.0592348575592041,0.01,0.982,0.9717267448294926,0.9885842599904322,0.01,0.005440754445529249,0.018309468870314774,0.998902,1000,1000
101,linear,,,frozen,32qam,-2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,recalibrated,bpsk,-2,CAE,0.0592348575592041,0.01,0.998,0.9927371921365079,0.9994513564118793,0.01,0.005440754445529249,0.018309468870314774,0.9998769999999999,1000,1000
101,linear,,,recalibrated,bpsk,-2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,recalibrated,qpsk,-2,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,0.999998,1000,1000
101,linear,,,recalibrated,qpsk,-2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,recalibrated,16qam,-2,CAE,0.0592348575592041,0.01,0.983,0.9729440411597701,0.9893593101431837,0.01,0.005440754445529249,0.018309468870314774,0.998907,1000,1000
101,linear,,,recalibrated,16qam,-2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,recalibrated,32qam,-2,CAE,0.0592348575592041,0.01,0.982,0.9717267448294926,0.9885842599904322,0.01,0.005440754445529249,0.018309468870314774,0.998902,1000,1000
101,linear,,,recalibrated,32qam,-2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,frozen,bpsk,0,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,0.9999979999999999,1000,1000
101,linear,,,frozen,bpsk,0,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,frozen,qpsk,0,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,frozen,qpsk,0,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,frozen,16qam,0,CAE,0.0592348575592041,0.01,0.997,0.9912169859464969,0.9989792161188614,0.01,0.005440754445529249,0.018309468870314774,0.9999399999999999,1000,1000
101,linear,,,frozen,16qam,0,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,frozen,32qam,0,CAE,0.0592348575592041,0.01,0.995,0.9883490446266249,0.9978624644726756,0.01,0.005440754445529249,0.018309468870314774,0.99966,1000,1000
101,linear,,,frozen,32qam,0,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,recalibrated,bpsk,0,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,0.9999979999999999,1000,1000
101,linear,,,recalibrated,bpsk,0,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,recalibrated,qpsk,0,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,recalibrated,qpsk,0,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,recalibrated,16qam,0,CAE,0.0592348575592041,0.01,0.997,0.9912169859464969,0.9989792161188614,0.01,0.005440754445529249,0.018309468870314774,0.9999399999999999,1000,1000
101,linear,,,recalibrated,16qam,0,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,recalibrated,32qam,0,CAE,0.0592348575592041,0.01,0.995,0.9883490446266249,0.9978624644726756,0.01,0.005440754445529249,0.018309468870314774,0.99966,1000,1000
101,linear,,,recalibrated,32qam,0,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,frozen,bpsk,2,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,0.999997,1000,1000
101,linear,,,frozen,bpsk,2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,frozen,qpsk,2,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,frozen,qpsk,2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,frozen,16qam,2,CAE,0.0592348575592041,0.01,0.999,0.9943574414020421,0.9998234536293739,0.006,0.0027526691418763745,0.01302816824185209,0.999976,1000,1000
101,linear,,,frozen,16qam,2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,frozen,32qam,2,CAE,0.0592348575592041,0.01,0.999,0.9943574414020421,0.9998234536293739,0.006,0.0027526691418763745,0.01302816824185209,0.999964,1000,1000
101,linear,,,frozen,32qam,2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,recalibrated,bpsk,2,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,0.999997,1000,1000
101,linear,,,recalibrated,bpsk,2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,recalibrated,qpsk,2,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,recalibrated,qpsk,2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,recalibrated,16qam,2,CAE,0.0592348575592041,0.01,0.999,0.9943574414020421,0.9998234536293739,0.006,0.0027526691418763745,0.01302816824185209,0.999976,1000,1000
