detector,snr_db,pd,measured_pfa,target_pfa,threshold,n_signal,n_noise
ed_unc2dB,-12.0,0.0,0.0,0.01,1792.8685302734375,4000,13000
ed_unc2dB,-10.0,0.0,0.0,0.01,1792.8685302734375,4000,13000
ed_unc2dB,-8.0,0.0,0.0,0.01,1792.8685302734375,4000,13000
ed_unc2dB,-6.0,0.018,0.0,0.01,1792.8685302734375,4000,13000
ed_unc2dB,-4.0,0.13525,0.0,0.01,1792.8685302734375,4000,13000
ed_unc2dB,-2.0,0.47725,0.0,0.01,1792.8685302734375,4000,13000
ed_unc2dB,0.0,0.84275,0.0,0.01,1792.8685302734375,4000,13000
ed_unc2dB,2.0,1.0,0.0,0.01,1792.8685302734375,4000,13000
ed_unc2dB,4.0,1.0,0.0,0.01,1792.8685302734375,4000,13000
ed_unc2dB,6.0,1.0,0.0,0.01,1792.8685302734375,4000,13000
ed_unc2dB,8.0,1.0,0.0,0.01,1792.8685302734375,4000,13000
ed_unc2dB,10.0,1.0,0.0,0.01,1792.8685302734375,4000,13000
